@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-24

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute ID string
@attribute label {1,-1}

@data
48.576923,0.068846,0.333134,7.647302,0.928571,2.99575,0.115385,4.381276,2.889773,-0.011202,4.840459,0.15204,0.559759,0.434597,0.395555,2,2,2.666667,3,3,3,0.2,51147ab9c2a3754cfe66863e,1
48,0.104826,0.202487,7.417781,0.944444,3.277936,0.156863,3.507307,2.597894,-0.105032,5.775728,0.483563,1.282138,0.51182,0.347122,1.5,1,0,4,2,2,0.4,51147c7cc2a3754cfe6687d6,1
39.529412,0.11214,0.222869,7.885221,0.772727,4.167753,0.098039,3.398542,2.3492,-0.080468,5.884788,0.161181,0.462936,0.366914,0.35619,1.333333,0.5,0,3,2,1,0.5,51147f1bc2a3754cfe668b3b,1
41.727273,0.06937,0.219034,7.380061,0.956522,2.859345,0.121212,3.792247,2.929229,-0.050073,5.340625,0.314529,1.238429,0.283525,0.275237,0.8,1.666667,3.5,5,3,2,0.4,51147c8dc2a3754cfe6687ee,1
43.888889,0.090717,0.235741,7.384022,0.964286,0.917698,0.135802,8.887873,2.587303,-0.055664,5.263433,0.738576,0.978154,0.734312,0.403636,1,1.166667,2,7,6,2,0.4,51148ba7c2a3754cfe669b75,1
50.409091,0.119697,0.253807,8.219931,0.758621,2.18266,0.121212,5.576788,2.172602,-0.083741,4.751428,0.286059,0.504036,0.480185,0.297889,2.833333,11.5,3,6,2,2,0.2,51148233c2a3754cfe668e93,1
52.215517,0.089437,0.25737,7.678099,0.878788,2.421468,0.112069,6.579885,2.609985,-0.05841,2.552029,0.292612,0.440987,0.352222,0.290303,3.857143,5.071429,4,21,14,11,3,51148308c2a3754cfe668f8e,1
44.529412,0.05691,0.181478,7.683908,0.809524,1.784653,0.176471,5.326569,2.841085,-0.080821,4.978947,0.318928,1.270771,0.35619,0.35619,1,4,1,5,2,2,0.3,51148a6cc2a3754cfe669960,1
37.771429,0.042437,0.345173,7.718629,0.886076,2.845009,0.047619,5.028699,2.92591,-0.023313,3.272844,0.104115,0.121813,0.11608,0.099358,2.2,0,1,5,3,3,0.7,51147a66c2a3754cfe6685f1,1
40.540541,0.042733,0.359565,7.665727,0.902439,2.727783,0.117117,5.108303,2.86288,0.037668,4.15834,0.414089,0.542029,0.434763,0.294545,0.833333,1,1.333333,6,6,3,0.5,51147a64c2a3754cfe6685eb,1
