@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
46.4,0.090872,0.333796,7.275679,1,1.300701,0.155556,3.904503,2.923533,0.462494,0.40016,0.388006,0,3.5,4.5,3,2,2,0.2,-1
46.366667,0.09542,0.290923,7.859844,0.882353,2.596585,0.066667,4.384549,2.938138,0.35395,0.326919,0.20008,4.5,2.5,3.5,2,2,2,0.5,-1
67.375,0.076079,0.271332,8.444153,0.615385,0.943458,0.166667,4.844576,2.83891,0.72751,0.708242,0.69155,0,1,16,2,1,1,0.4,-1
81.428571,0.071206,0.328622,7.98966,0.777778,2.717033,0.190476,3.34017,3.026331,0.617373,0.5025,0.428743,3.75,4,0.5,4,2,2,0.1,-1
70.857143,0.099369,0.249767,8.104615,0.7,1.424092,0.238095,3.646173,2.713124,1.000277,0.83144,0.710398,9.5,4.5,13,2,2,1,0.2,-1
32,0.04483,0.295697,7.4169,0.9,1.928128,0.148148,3.675087,2.905308,1.229422,0.666934,0.646676,1,1.5,1,2,2,1,0.1,-1
54,0.099947,0.299189,7.630116,0.888889,2.924251,0.104167,3.094114,2.981765,0.37515,0.363755,0.354121,3.5,2.5,0,2,2,1,0.1,-1
43.636364,0.096455,0.340921,8.113118,1,1.178912,0.151515,6.736772,2.870951,0.529098,0.502946,0.473995,0,5,10,2,2,1,0.2,-1
38.875,0.042225,0.365994,7.222305,1,1.375782,0.125,5.062446,3.057476,0.750301,0.676827,0.612974,1,1,1,1,1,1,0.125,-1
74.888889,0.155943,0.285006,8.144703,0.75,2.865306,0.185185,3.367721,2.652826,0.666934,0.663749,0.601624,0.5,19.5,29,2,2,1,0.1,-1
